University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
"Physical Education Academy ""Jedrzej Sniadecki"" in Gdansk",Pszczew,Poland,Programmer Analyst I,Multi-tiered zero tolerance utilisation,2016-03-19,2016-10-10,221.19,PLN
Precarpathian University,Turka,Ukraine,Account Coordinator,Phased object-oriented benchmark,2016-09-26,2017-04-30,3242.52,UAH
Maria Curie-Sklodowska University Lublin,Ciasna,Poland,Associate Professor,Virtual client-driven migration,2019-11-27,2020-03-02,9065.78,PLN
Ukrainian Academy of Banking,Krasnosilka,Ukraine,Speech Pathologist,Future-proofed interactive function,2019-07-16,2020-02-09,2582.59,UAH
Faulkner University,Irving,United States,Chief Design Engineer,Seamless fresh-thinking focus group,2019-04-16,2019-09-16,1917.2,USD
Shandong Medical University,Xikou,China,Executive Secretary,Operative didactic moderator,2017-05-15,2017-05-28,3431.98,CNY
Ecole Nationale Supérieure des Telecommunications de Paris,Saint-Flour,France,Research Nurse,Polarised 4th generation approach,2016-08-26,2016-11-21,2031.05,EUR
China Agricultural University,Cizhu,China,Marketing Manager,Visionary context-sensitive knowledge user,2016-03-09,2016-07-14,8247.98,CNY
Universidad Externado de Colombia,Barrancas,Colombia,Help Desk Technician,Profound attitude-oriented concept,2017-12-21,2018-06-29,1257.11,COP
Addis Ababa Science & Technology University,Bako,Ethiopia,Quality Engineer,Compatible maximized paradigm,2018-11-15,2019-05-13,6063.19,ETB
Pan-African University,Dutsin Ma,Nigeria,Software Consultant,Expanded clear-thinking definition,2017-06-15,2017-07-07,3905.7,NGN
Technical University of Lublin,Narol,Poland,Technical Writer,Ameliorated exuding toolset,2017-07-26,2018-02-19,865.93,PLN
Universitas Ibn Chaldun Jakarta,Jajaway,Indonesia,Quality Control Specialist,Secured 24/7 capacity,2019-03-08,2019-08-07,7912.7,IDR
University of Andorra,Canillo,Andorra,Financial Analyst,Balanced transitional archive,2017-07-01,2017-07-24,8842.93,EUR
Royal lnstitute of Technology,Stockholm,Sweden,Mechanical Systems Engineer,Upgradable bottom-line alliance,2019-05-25,2019-06-26,3854.55,SEK
China Medical University Shenyang,Minjian,China,Project Manager,Centralized explicit installation,2017-03-07,2017-09-22,453.33,CNY
International University Institute of Luxembourg,Schieren,Luxembourg,Account Representative I,Fully-configurable upward-trending product,2017-08-13,2018-02-01,8828.23,EUR
Kettering University (GMI),Houston,United States,Senior Financial Analyst,Fully-configurable composite synergy,2017-09-26,2017-11-07,2199.5,USD
Universitas Negeri Semarang,Sebewe,Indonesia,Information Systems Manager,Re-contextualized optimal system engine,2018-05-31,2018-09-07,3502.57,IDR
Canadian Mennonite University,Saskatoon,Canada,Environmental Specialist,Open-architected disintermediate service-desk,2017-06-23,2017-08-25,2889.68,CAD
International University Institute of Luxembourg,Bergem,Luxembourg,Internal Auditor,Fundamental systematic focus group,2016-11-09,2017-06-17,2344.73,EUR
"Muthesius-Hochschule, Fachhochschule für Kunst und Gestaltung",Bielefeld,Germany,Biostatistician IV,Implemented maximized algorithm,2016-07-20,2016-08-25,7123.71,EUR
Universitas Ngurah Rai,Patrol,Indonesia,Staff Accountant I,Realigned mobile knowledge base,2019-04-06,2019-10-06,9963.4,IDR
Tibet Tibetan Medical College,Tantou,China,Nuclear Power Engineer,Re-contextualized regional hub,2016-03-14,2016-06-26,5415.81,CNY
Universitas Islam Sumatera Utara,Sipoholon,Indonesia,Editor,Quality-focused demand-driven complexity,2018-08-29,2018-10-11,8741.45,IDR
Instituto Politécnico de Setúbal,Fontinha,Portugal,Account Representative III,Fundamental 24/7 firmware,2019-07-16,2020-02-02,4390.56,EUR
Universitas Pattimura,Bakan,Indonesia,Recruiter,Robust empowering adapter,2019-10-20,2020-05-25,7359.71,IDR
Epoka University,Manzë,Albania,Financial Advisor,Monitored coherent process improvement,2019-01-29,2019-08-04,8442.84,ALL
Universidad Maimónides,Bahía Blanca,Argentina,Analog Circuit Design manager,Digitized local protocol,2017-10-03,2018-02-17,3482.25,ARS
Institut Teknologi Adhi Tama Surabaya,Desa Baregbeg,Indonesia,VP Quality Control,Profit-focused tangible orchestration,2016-05-29,2016-11-18,9973.71,IDR
Udmurt State University,Manzurka,Russia,Senior Editor,Up-sized context-sensitive data-warehouse,2019-03-03,2019-09-08,2528.38,RUB
Omsk State Agrarian University,Opechenskiy Posad,Russia,Software Test Engineer II,Synchronised transitional extranet,2017-08-30,2017-12-22,7241.39,RUB
University of Asia and the Pacific,San Diego,Philippines,Paralegal,Upgradable reciprocal time-frame,2017-09-24,2018-02-18,2819.98,PHP
Universidade da Beira Interior,Mosteiro,Portugal,Executive Secretary,Virtual methodical open system,2018-07-09,2018-07-16,7548.69,EUR
Universitas Methodist Indonesia,Leuweheq,Indonesia,Senior Sales Associate,Ameliorated non-volatile open system,2019-02-07,2019-05-17,4846.06,IDR
South China Construction University,Huze,China,Staff Scientist,Multi-tiered responsive initiative,2017-04-18,2017-04-21,5598.37,CNY
Universidade Potiguar,Celso Ramos,Brazil,Marketing Manager,Innovative 5th generation algorithm,2016-03-10,2016-04-10,2886.36,BRL
University of Osijek,Markušica,Croatia,Senior Quality Engineer,Right-sized exuding hierarchy,2018-10-26,2019-01-06,4587.71,HRK
Université de la Reunion,Saint-Paul,Reunion,Design Engineer,Team-oriented systematic installation,2016-05-12,2016-06-18,4213.74,EUR
Wilfrid Laurier University,Kerrobert,Canada,Programmer IV,Triple-buffered leading edge encryption,2016-11-01,2017-02-12,8540.8,CAD
Qinghai Normal University,Weihai,China,Web Designer I,Synergistic systemic utilisation,2017-08-30,2018-01-27,280.43,CNY
Universidade Federal de São Carlos,Embu,Brazil,Associate Professor,Managed executive contingency,2017-01-17,2017-02-12,6710.62,BRL
Universidad de Mendoza,General Villegas,Argentina,Geological Engineer,Vision-oriented explicit product,2016-06-18,2016-11-21,7236.75,ARS
Universitas Negeri Yogyakarta,Karangtengah,Indonesia,Administrative Officer,Synergistic bottom-line standardization,2016-06-29,2016-08-21,3261.66,IDR
University of the Philippines Visayas - Cebu High School,Minien East,Philippines,Design Engineer,Re-contextualized executive encoding,2016-11-28,2017-03-11,1720.99,PHP
Universidad Modular Abierta,Conchagua,El Salvador,Account Representative I,Mandatory methodical utilisation,2019-01-04,2019-04-12,7356.03,USD
Baiko Women's College,Saiki,Japan,Associate Professor,Cross-group client-driven installation,2016-10-31,2016-12-10,4663.16,JPY
Wuyi University,Juxing,China,Analog Circuit Design manager,Phased 24/7 Graphic Interface,2019-01-18,2019-03-21,8055.19,CNY
Universitas Muhammadiyah Surakarta,Bantarmangu,Indonesia,Pharmacist,Ameliorated responsive approach,2017-12-17,2018-03-25,9609.01,IDR
Instituto Superior Bissaya Barreto,Alcáçovas,Portugal,Help Desk Operator,Pre-emptive 24/7 productivity,2017-11-02,2018-02-17,3721.28,EUR
Beijing New Asia University,Chencai,China,Software Engineer IV,Profound needs-based extranet,2018-12-26,2019-01-21,5408.18,CNY
Lviv Polytechnic National University,Verkhnyaya Belka,Ukraine,Payment Adjustment Coordinator,Phased exuding parallelism,2017-03-25,2017-08-03,4875.58,UAH
University of Baguio,Mercedes,Philippines,Community Outreach Specialist,Managed regional process improvement,2019-08-09,2019-10-30,9148.76,PHP
Omsk State Pedagogical University,Sevsk,Russia,Automation Specialist IV,Realigned responsive standardization,2016-04-29,2016-10-29,233.0,RUB
Malmö University College,Örebro,Sweden,Account Representative I,Open-source intermediate middleware,2018-02-13,2018-03-19,4325.06,SEK
Cevro Institut College,Psáry,Czech Republic,Assistant Media Planner,Managed uniform system engine,2016-06-15,2016-10-26,2007.03,CZK
Guangxi Medical University,Shancheng,China,Desktop Support Technician,Open-architected stable access,2018-10-21,2019-04-10,2293.69,CNY
Jönköping University College of Health Sciences,Borås,Sweden,Quality Control Specialist,Triple-buffered 6th generation groupware,2018-06-10,2018-08-17,1214.65,SEK
Sapporo International University,Ujiie,Japan,GIS Technical Architect,Intuitive heuristic groupware,2017-02-02,2017-04-01,6970.68,JPY
Yangtze Normal University,Chikan,China,Developer I,Exclusive human-resource process improvement,2017-12-27,2018-01-11,953.59,CNY
Swedish University of Agricultural Sciences,Norrahammar,Sweden,Help Desk Technician,Open-architected multi-state superstructure,2019-04-20,2019-10-23,1922.7,SEK
"St. Petersburg State University of Information Technologies, Mechanics and Optics",Kysyl-Syr,Russia,Marketing Assistant,Distributed heuristic architecture,2016-02-25,2016-05-30,7866.9,RUB
National Aviation Academy,Baku,Azerbaijan,Database Administrator III,Face to face scalable model,2019-08-02,2019-09-08,2039.73,AZN
Trisakti Institute of Tourism ,Praya,Indonesia,Civil Engineer,Down-sized fault-tolerant portal,2016-05-16,2016-08-22,4363.61,IDR
University of Zululand,Maclear,South Africa,Information Systems Manager,Operative client-server flexibility,2017-12-22,2018-05-12,9279.29,ZAR
Xuzhou Normal University,Yanhe,China,Research Assistant III,Reverse-engineered cohesive structure,2017-06-04,2017-09-06,9729.78,CNY
Dublin Institute of Technology,Annacotty,Ireland,Senior Quality Engineer,Multi-lateral full-range moratorium,2016-04-24,2016-09-02,2016.88,EUR
Centro Universitário Adventista de São Paulo,Perdões,Brazil,Environmental Specialist,Enterprise-wide transitional intranet,2016-06-15,2016-09-04,8359.69,BRL
Universidad de Cienfuegos,Boyeros,Cuba,Senior Sales Associate,Customizable contextually-based array,2018-11-13,2019-05-27,656.65,CUP
Universidad México Americana del Norte,Independencia,Mexico,Automation Specialist III,Phased tangible definition,2016-10-15,2017-02-09,6450.43,MXN
Long Island University,Anchorage,United States,Analog Circuit Design manager,Multi-channelled contextually-based knowledge user,2017-08-28,2018-02-14,8896.47,USD
Hainan University,Shanghang,China,Research Assistant IV,Expanded analyzing standardization,2017-07-01,2017-08-28,4992.22,CNY
Takestan Islamic Azad University,Zarrīn Shahr,Iran,Editor,Robust high-level capability,2018-04-11,2018-09-15,403.91,IRR
University for Humanistics (UH),Arnhem,Netherlands,Assistant Media Planner,Exclusive attitude-oriented software,2018-11-29,2019-01-04,4747.06,EUR
National University of Ostroh Academy,Korop,Ukraine,Programmer I,Synchronised empowering ability,2019-01-20,2019-08-08,805.95,UAH
Universitas Widyatama,Karangkedawung,Indonesia,VP Product Management,Open-architected client-server groupware,2019-09-22,2020-01-14,4567.6,IDR
University of Maribor,Vrtojba,Slovenia,Professor,Adaptive secondary throughput,2018-09-12,2018-09-15,7530.75,EUR
Osun State University,Obonoma,Nigeria,Physical Therapy Assistant,Optimized incremental pricing structure,2019-06-10,2019-06-17,3775.22,NGN
Universidad Adventista Dominicana,Jamao al Norte,Dominican Republic,Quality Engineer,Seamless directional moderator,2016-12-07,2017-01-27,7630.47,DOP
Universitas Sanata Dharma,Singkir,Indonesia,Associate Professor,Proactive fresh-thinking system engine,2017-02-14,2017-07-04,3264.9,IDR
Our Lady of Fatima University,Legaspi,Philippines,VP Quality Control,Universal leading edge extranet,2016-09-01,2017-02-20,7010.1,PHP
Sekolah Tinggi Akuntansi Negara (STAN),Setonokalong,Indonesia,Human Resources Assistant III,Fully-configurable full-range projection,2017-07-29,2017-12-03,1607.58,IDR
St. Petersburg State University of Technology and Design,Kayakent,Russia,Data Coordinator,Persevering non-volatile project,2016-10-04,2016-11-11,7839.16,RUB
North China University of Technology,Zhaitou,China,Design Engineer,Proactive grid-enabled emulation,2016-12-23,2017-01-07,526.83,CNY
Pjatigorsk State Linguistic University,Russkaya Polyana,Russia,Marketing Manager,Compatible dedicated access,2019-04-29,2019-08-03,2697.44,RUB
Asian University of Science and Technology,Na Yung,Thailand,Operator,Networked demand-driven toolset,2017-03-11,2017-03-22,7708.93,THB
Centro Regional Universitário de Espiríto Santo do Pinhal,Ipiaú,Brazil,Senior Developer,Upgradable bottom-line help-desk,2016-06-12,2016-08-27,7286.25,BRL
University of West Bohemia,Žabčice,Czech Republic,Paralegal,Customer-focused clear-thinking forecast,2017-03-03,2017-04-21,8101.14,CZK
University of Batangas,Atok,Philippines,Cost Accountant,Quality-focused dedicated Graphical User Interface,2018-03-18,2018-04-28,8097.7,PHP
Aleksander Gieysztor School of Humanities in Pultusk,Sączów,Poland,Product Engineer,Object-based non-volatile algorithm,2018-09-10,2018-12-08,4072.88,PLN
College of Education Oju,Kamba,Nigeria,Technical Writer,Organized upward-trending extranet,2019-02-02,2019-03-13,8600.56,NGN
World Maritime University,Sundsvall,Sweden,Sales Associate,Seamless neutral neural-net,2017-02-19,2017-09-19,9772.46,SEK
Davis and Elkins College,Colorado Springs,United States,Professor,Optimized asynchronous focus group,2016-07-05,2016-07-23,595.29,USD
Universidade do Minho,Ribamar,Portugal,Accountant III,Progressive object-oriented budgetary management,2018-07-25,2018-09-20,3346.15,EUR
Crawford University ,Abua,Nigeria,Research Nurse,Multi-channelled eco-centric customer loyalty,2018-10-10,2019-04-20,7957.25,NGN
"Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse",Bordeaux,France,Editor,Horizontal optimal task-force,2017-08-06,2018-03-10,4597.72,EUR
Huazhong University of Science and Technology,Shangsha,China,Sales Representative,Multi-layered upward-trending contingency,2019-08-17,2019-09-24,4322.63,CNY
Gdansk Management College,Trzcińsko Zdrój,Poland,Assistant Manager,Self-enabling tertiary implementation,2018-11-25,2019-01-13,8169.83,PLN
Universidade de Coimbra,Vale de Vila,Portugal,Accounting Assistant I,Seamless eco-centric info-mediaries,2016-04-29,2016-11-02,1624.74,EUR
University of San Jose Recoletos,Sinacaban,Philippines,Systems Administrator II,Intuitive 3rd generation project,2017-04-03,2017-06-29,4550.17,PHP
Universidad Particular Inca Garcilaso de la Vega,Cairani,Peru,Automation Specialist I,Decentralized intermediate open architecture,2016-10-01,2017-01-31,8604.53,PEN
Université Omar Bongo,Mayumba,Gabon,Mechanical Systems Engineer,Triple-buffered dynamic capacity,2018-03-28,2018-06-29,5136.0,XAF
Wuhan Transportation University,Ningdun,China,Structural Analysis Engineer,Advanced didactic encoding,2018-04-08,2018-05-30,553.18,CNY
Vaal University of Technology,Port Nolloth,South Africa,Desktop Support Technician,Visionary tangible migration,2016-06-27,2016-08-23,6217.16,ZAR
Politeknik Negeri Bandung,Tonggoh,Indonesia,Staff Scientist,Re-engineered didactic solution,2018-05-09,2018-10-12,2106.62,IDR
South University of Science and Technology of China ,Dushang,China,Assistant Media Planner,Switchable 6th generation matrix,2019-08-11,2019-08-20,9590.57,CNY
Gettysburg College,Las Vegas,United States,Environmental Specialist,Future-proofed leading edge focus group,2016-09-30,2017-03-12,653.89,USD
Beijing Forestry University,Hengshitang,China,Community Outreach Specialist,Digitized regional focus group,2019-11-06,2020-02-23,9824.42,CNY
Russian Academy of Theatre Arts,Vysokogornyy,Russia,Staff Scientist,Profound neutral software,2016-08-10,2017-01-13,3413.34,RUB
South China University of Technology,Shazi,China,Professor,Grass-roots responsive installation,2017-11-19,2018-05-17,7632.11,CNY
Tambov State Technical University,Staraya Stanitsa,Russia,Recruiting Manager,Intuitive tangible adapter,2019-10-25,2019-11-12,1762.04,RUB
Universidad Nacional de Ucayali,Chincha Baja,Peru,Staff Scientist,Re-engineered didactic product,2019-09-29,2020-02-09,562.65,PEN
Universidad Kino,El Limon,Mexico,Mechanical Systems Engineer,Expanded fresh-thinking benchmark,2017-05-03,2017-10-26,6484.92,MXN
Health sciences University of Mongolia,Eg,Mongolia,Physical Therapy Assistant,Face to face actuating utilisation,2018-08-20,2019-02-18,4085.38,MNT
Universitas Nasional Jakarta,Ambian,Indonesia,Human Resources Manager,Implemented radical attitude,2017-08-26,2018-03-23,4083.35,IDR
Agricultural University of Athens,Sofádes,Greece,Assistant Media Planner,Stand-alone didactic leverage,2017-06-01,2017-09-11,1731.06,EUR
Universidade Federal de Alagoas,Mendes,Brazil,Teacher,Versatile clear-thinking forecast,2019-07-16,2019-10-02,4669.91,BRL
Instituto Superior de Gestão - ISG,Chã,Portugal,Senior Quality Engineer,Total neutral help-desk,2016-11-12,2017-05-05,5963.09,EUR
Aga Khan University,Mlowo,Tanzania,Associate Professor,Expanded homogeneous alliance,2018-06-24,2018-07-28,5620.19,TZS
Fundación Universitaria San Martín,Armenia,Colombia,Research Nurse,Sharable system-worthy emulation,2018-03-11,2018-05-24,6395.41,COP
Brandenburgische Technische Universität Cottbus,Erfurt,Germany,Design Engineer,Cross-platform upward-trending internet solution,2018-01-28,2018-03-08,518.45,EUR
Universidad Nacional de Educación Enrique Guzmán y Valle,Mórrope,Peru,Human Resources Manager,Multi-tiered foreground matrices,2019-11-29,2020-05-22,4000.24,PEN
"Federal Polytechnic Bauchi, Nigeria",Ringim,Nigeria,Dental Hygienist,Managed next generation parallelism,2016-05-18,2016-09-01,1998.97,NGN
Universidade Federal do Maranhão,Várzea Grande,Brazil,Cost Accountant,Persistent tertiary process improvement,2019-02-15,2019-07-11,3024.23,BRL
University of Malta,L-Iklin,Malta,Geologist I,Centralized scalable array,2018-10-23,2019-03-11,8610.63,EUR
Universitas Gajayana Malang,Tulung,Indonesia,General Manager,Ameliorated needs-based challenge,2018-05-29,2019-01-03,3559.72,IDR
Centro Regional Universitário de Espiríto Santo do Pinhal,Ilhabela,Brazil,Account Representative I,Implemented composite application,2018-02-02,2018-07-02,6570.64,BRL
Universitas Advent Indonesia,Raejeru,Indonesia,Programmer II,Virtual real-time circuit,2017-12-06,2018-06-25,7670.36,IDR
University of Kragujevac,Inđija,Serbia,Graphic Designer,Digitized next generation frame,2017-01-23,2017-06-03,2222.69,RSD
Nanjing University of Posts and Telecommunications,Shitan,China,Engineer II,Pre-emptive exuding forecast,2019-01-02,2019-06-17,2936.68,CNY
Shanghai Lixin University of Commerce,Huiwen,China,Media Manager II,Object-based content-based customer loyalty,2017-05-24,2017-11-30,4396.72,CNY
Al-Buraimi University College,Bidbid,Oman,Physical Therapy Assistant,Synergistic fault-tolerant protocol,2017-12-19,2018-03-16,2904.57,OMR
Scandinavian Art and Business Institute,Luhanka,Finland,Financial Analyst,Devolved multi-state info-mediaries,2017-11-13,2018-02-01,6203.2,EUR
Universidad Centro Occidental Lisandro Alvarado,Guanta,Venezuela,Senior Quality Engineer,Self-enabling global open architecture,2018-11-22,2018-12-03,4211.62,VEF
Centro Universitário Plinio Leite,Açu,Brazil,Occupational Therapist,Persistent dedicated knowledge base,2016-03-27,2016-06-12,7972.0,BRL
Staffordshire University,Eaton,United Kingdom,General Manager,Fundamental zero defect neural-net,2018-05-30,2018-11-08,5994.89,GBP
Université de Tunis,Midoun,Tunisia,Software Test Engineer IV,Self-enabling discrete attitude,2019-02-16,2019-08-01,7669.29,TND
Universitas Kristen Indonesia Tomohon,Kademangan,Indonesia,Assistant Professor,De-engineered solution-oriented workforce,2017-05-17,2017-09-17,5200.28,IDR
AgroParisTech,Créteil,France,Compensation Analyst,Secured eco-centric pricing structure,2018-05-28,2018-06-03,6694.3,EUR
Christian Theological Academy in Warszaw,Prabuty,Poland,Account Coordinator,Managed exuding budgetary management,2016-10-01,2017-04-04,5106.3,PLN
Universitas Muhammadiyah Jember,Sumberkertokrajan,Indonesia,Technical Writer,Proactive clear-thinking moratorium,2018-03-19,2018-09-03,3976.83,IDR
University of Macau,Liquica,East Timor,Senior Editor,Universal asynchronous paradigm,2016-08-11,2017-01-21,8175.14,USD
Angeles University,Calibutbut,Philippines,Chemical Engineer,Ergonomic national algorithm,2018-09-25,2019-03-05,9012.59,PHP
Taegu University,Heung-hai,South Korea,Safety Technician I,Organized heuristic capacity,2018-05-31,2018-08-25,5181.12,KRW
Al-Quds University - The Arab University in Jerusalem,Khallat Ḩamāmah,Palestinian Territory,Web Designer III,Adaptive web-enabled approach,2016-04-07,2016-07-17,3564.96,ILS
Maritime University in Szczecin,Ołpiny,Poland,Computer Systems Analyst II,Cross-group systemic functionalities,2019-07-10,2020-01-17,287.44,PLN
"Islamic Azad University, Bandar Abbas",Masjed Soleymān,Iran,Marketing Assistant,Multi-channelled full-range architecture,2016-02-28,2016-04-10,6705.58,IRR
Hehai University,Dalianwan,China,Automation Specialist IV,Programmable dedicated moratorium,2017-05-05,2017-05-25,4125.24,CNY
National Metallurgical Academy of Ukraine,Vendychany,Ukraine,Administrative Assistant I,Face to face motivating flexibility,2017-11-13,2018-04-30,1526.08,UAH
Instituto Superior de Ciências Educativas,Albarraque,Portugal,Programmer Analyst II,Re-contextualized object-oriented open system,2019-11-18,2020-06-25,8429.67,EUR
National University of Food Technologies,Shostka,Ukraine,Accounting Assistant III,Optional local model,2017-12-01,2018-05-10,7492.27,UAH
Universidade Estácio de Sá,Santa Luzia,Brazil,Software Engineer I,Focused didactic software,2017-07-18,2017-12-13,9520.97,BRL
Chulalongkorn University,Ko Chan,Thailand,Engineer II,Up-sized holistic migration,2017-01-25,2017-05-06,1623.26,THB
Grodno State Agrarian University,Lyeskawka,Belarus,Tax Accountant,Open-source bi-directional moderator,2016-11-15,2017-04-26,8309.12,BYR
STMIK AMIKOM Yogyakarta,Litibakul,Indonesia,Internal Auditor,Open-architected homogeneous monitoring,2017-12-10,2018-06-10,7445.72,IDR
Université de Valenciennes et du Hainaut-Cambrésis,Cavaillon,France,Senior Sales Associate,Customizable fault-tolerant focus group,2018-02-16,2018-09-13,1898.89,EUR
Capital University of Medical Sciences,Pengjia Zhaizi,China,Quality Engineer,Down-sized reciprocal process improvement,2016-07-20,2016-12-30,2141.53,CNY
Samara State University of Economics,Srednebelaya,Russia,Programmer IV,Face to face disintermediate productivity,2016-07-17,2017-02-05,5820.11,RUB
Hanoi University of Civil Engineering,Pho Duc,Vietnam,VP Product Management,Organized background methodology,2017-07-09,2018-01-05,365.71,VND
Universitas Kristen Indonesia,Putukrejo,Indonesia,Paralegal,Public-key mobile contingency,2017-09-16,2018-01-17,7393.69,IDR
Yemenia University,Dhamār,Yemen,Physical Therapy Assistant,Reduced system-worthy focus group,2016-05-01,2016-06-29,4800.21,YER
Academia Nacional Superior de Orquesta,Nogueira da Regedoura,Portugal,Human Resources Manager,Re-contextualized mission-critical moratorium,2017-08-13,2018-01-17,5885.22,EUR
Kyrgyz National Agrarian University,Pokrovka,Kyrgyzstan,Quality Engineer,Compatible background instruction set,2018-11-14,2019-03-21,8362.04,KGS
Nivadhana University,Thap Khlo,Thailand,Director of Sales,Ergonomic modular monitoring,2016-11-17,2017-02-24,2462.99,THB
University of Fine Arts Belgrade,Stari Lec,Serbia,Legal Assistant,Visionary 24/7 attitude,2016-12-21,2017-07-18,7626.91,RSD
Universidad Nacional de Jujuy,Caleta Olivia,Argentina,Web Designer I,Distributed upward-trending product,2017-03-30,2017-06-21,9071.79,ARS
Universidad de Ciencias y Humanidades,Huayacundo Arma,Peru,Media Manager I,Optimized neutral data-warehouse,2018-02-07,2018-04-07,6286.42,PEN
Pontifícia Universidade Católica do Rio de Janeiro,Barreiras,Brazil,Staff Scientist,Profit-focused grid-enabled product,2018-11-14,2019-01-08,7599.01,BRL
Universitas Indonusa Esa Unggul,Waru Selatan,Indonesia,Director of Sales,Pre-emptive mission-critical support,2018-09-21,2018-09-23,5667.79,IDR
University of Helsinki,Pyhäsalmi,Finland,Speech Pathologist,Persevering well-modulated alliance,2017-06-10,2017-12-03,3710.99,EUR
Universitas Bengkulu,Karangdawa Barat,Indonesia,Chemical Engineer,Programmable value-added middleware,2016-04-11,2016-09-26,4885.67,IDR
Université Joseph Fourier (Grenoble I),Tourcoing,France,Project Manager,Organic non-volatile concept,2018-02-01,2018-02-16,2984.33,EUR
Louisiana State University at Alexandria,Alhambra,United States,Community Outreach Specialist,Up-sized cohesive software,2016-10-24,2017-05-14,2619.96,USD
FON University,Радолишта,Macedonia,Physical Therapy Assistant,Advanced bifurcated task-force,2018-03-08,2018-04-30,3109.79,MKD
University of Opole,Potok Złoty,Poland,Office Assistant II,Optional eco-centric benchmark,2019-05-14,2019-10-22,9425.82,PLN
Université de Ngaoundéré,Bandjoun,Cameroon,Software Test Engineer IV,Decentralized value-added array,2017-10-11,2018-03-17,2347.48,XAF
China Academy of Art,Beiwucha,China,Business Systems Development Analyst,Horizontal impactful hub,2018-05-13,2018-10-01,2297.6,CNY
Université de Lomé,Aného,Togo,Staff Accountant I,Integrated user-facing complexity,2016-10-25,2017-03-08,4840.22,XOF
Universitas Negeri Jakarta,Cimongkor,Indonesia,Financial Analyst,Future-proofed content-based attitude,2019-07-26,2019-10-16,2551.55,IDR
Stamford University,Morrelgonj,Bangladesh,Electrical Engineer,Assimilated well-modulated algorithm,2017-02-09,2017-09-05,6190.53,BDT
University of Osijek,Vinica,Croatia,Sales Associate,Implemented neutral Graphical User Interface,2016-12-31,2017-05-22,3929.33,HRK
"Central University of Technology, Free State",Mondlo,South Africa,Director of Sales,Multi-tiered neutral projection,2018-04-02,2018-11-04,6714.43,ZAR
Hebei University of Science and Technology,Nanzhao Chengguanzhen,China,Social Worker,Robust 3rd generation success,2019-10-05,2019-11-11,4223.4,CNY
Tianjin Academy of Fine Art,Huangni,China,Web Developer III,Fundamental contextually-based protocol,2016-03-20,2016-05-09,4224.95,CNY
Balochistan University of Information Technology & Management Sciences ,Amirabad,Pakistan,Software Engineer III,Compatible non-volatile encryption,2016-04-07,2016-08-20,1556.33,PKR
Shanghai Institue of Foreign Trade,Shalang,China,Safety Technician II,Total responsive utilisation,2017-12-07,2018-07-12,2327.58,CNY
Södertörn University College,Hisings Kärra,Sweden,Structural Engineer,Customer-focused next generation budgetary management,2018-02-11,2018-05-28,1046.05,SEK
Jiangxi University of Finance and Economics,Tongguan,China,Operator,Streamlined needs-based collaboration,2017-05-21,2017-08-13,4373.95,CNY
Universidade Estadual do Vale do Acaraú,Pitangui,Brazil,Account Representative IV,Organic analyzing archive,2016-12-25,2017-05-07,6974.51,BRL
Henan Buddhist College,Shanghu,China,Budget/Accounting Analyst III,Right-sized motivating interface,2016-05-20,2016-06-12,8231.58,CNY
Yunnan Agriculture University,Reshui,China,Media Manager II,Inverse optimizing system engine,2017-06-08,2018-01-13,9476.66,CNY
Tyumen State Agricultural Academy,Mosal’sk,Russia,Human Resources Assistant IV,Seamless optimizing definition,2016-04-27,2016-05-18,3220.9,RUB
Yukon College,West Kelowna,Canada,Registered Nurse,Expanded zero tolerance info-mediaries,2019-07-30,2020-01-13,5413.32,CAD
Centro Universitário Senac,Irati,Brazil,Compensation Analyst,Progressive needs-based core,2016-05-24,2016-12-29,5279.63,BRL
Sichuan University,Sanxi,China,Budget/Accounting Analyst III,Intuitive analyzing archive,2017-01-12,2017-04-13,1429.35,CNY
Eurasia International University,Haghartsin,Armenia,Internal Auditor,Customizable intangible challenge,2018-02-13,2018-03-29,4333.94,AMD
Dublin Institute for Advanced Studies,Castlerea,Ireland,Chemical Engineer,Streamlined grid-enabled policy,2019-06-08,2019-10-10,4503.4,EUR
Pedagogical University of Rzeszow,Cedry Wielkie,Poland,Design Engineer,Managed intangible product,2017-04-16,2017-11-08,6878.86,PLN
Universidade Estadual da Paraíba,Ribeirão Preto,Brazil,Registered Nurse,Re-engineered bottom-line framework,2019-08-31,2020-03-06,6533.13,BRL
Universidad Pontificia Bolivariana,Nóvita,Colombia,Associate Professor,Open-source logistical hub,2016-04-14,2016-11-14,9757.95,COP
Mongolian State University of Agriculture,Ulaan-Ereg,Mongolia,Speech Pathologist,Persevering regional conglomeration,2018-05-06,2018-10-17,2781.55,MNT
Wuhan University of Hydraulic and Electric Engineering,Henggang,China,Administrative Officer,Synergized fresh-thinking archive,2018-08-13,2018-12-05,3521.83,CNY
Baqai Medical University,Islāmkot,Pakistan,Executive Secretary,Streamlined intermediate info-mediaries,2016-08-28,2016-10-26,3168.05,PKR
University of Macedonia,Agía Triáda,Greece,Account Coordinator,Open-architected 3rd generation product,2018-07-02,2018-11-20,4966.91,EUR
Tajik National University,Chkalov,Tajikistan,Developer III,Realigned demand-driven task-force,2017-08-25,2018-01-25,2913.33,TJS
